Subject,Start Date,Start Time,End Date,End Time,Description,Location
COMP2207 L1,09/28/2015,12:00,09/28/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,10/05/2015,12:00,10/05/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,10/12/2015,12:00,10/12/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,10/19/2015,12:00,10/19/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,10/26/2015,12:00,10/26/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,11/02/2015,12:00,11/02/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,11/09/2015,12:00,11/09/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,11/16/2015,12:00,11/16/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,11/23/2015,12:00,11/23/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,11/30/2015,12:00,11/30/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,12/07/2015,12:00,12/07/2015,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L1,01/04/2016,12:00,01/04/2016,13:00,Distributed Systems & Networks (Lecture),02 / 1089 (L/T D)
COMP2207 L2,10/01/2015,14:00,10/01/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,10/08/2015,14:00,10/08/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,10/15/2015,14:00,10/15/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,10/22/2015,14:00,10/22/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,10/29/2015,14:00,10/29/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,11/05/2015,14:00,11/05/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,11/12/2015,14:00,11/12/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,11/19/2015,14:00,11/19/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,11/26/2015,14:00,11/26/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,12/03/2015,14:00,12/03/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,12/10/2015,14:00,12/10/2015,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L2,01/07/2016,14:00,01/07/2016,15:00,Distributed Systems & Networks (Lecture),58 / 1067 (L/T)
COMP2207 L3,09/30/2015,10:00,09/30/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,10/07/2015,10:00,10/07/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,10/14/2015,10:00,10/14/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,10/21/2015,10:00,10/21/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,10/28/2015,10:00,10/28/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,11/04/2015,10:00,11/04/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,11/11/2015,10:00,11/11/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,11/18/2015,10:00,11/18/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,11/25/2015,10:00,11/25/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,12/02/2015,10:00,12/02/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,12/09/2015,10:00,12/09/2015,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 L3,01/06/2016,10:00,01/06/2016,11:00,Distributed Systems & Networks (Lecture),35 / 1001
COMP2207 Tut,10/01/2015,15:00,10/01/2015,16:00,Distributed Systems & Networks (Tutorial),58 / 1067 (L/T)
COMP2207 Tut,10/08/2015,15:00,10/08/2015,16:00,Distributed Systems & Networks (Tutorial),58 / 1067 (L/T)
COMP2207 Tut,10/15/2015,15:00,10/15/2015,16:00,Distributed Systems & Networks (Tutorial),58 / 1067 (L/T)
